inningNumber,overNumber,ballNumber,ballDateTime,battingPlayer,nonStrikeBattingPlayer,bowlerPlayer,runs,runsScored,runsConceded,extras,battingFeetId,battingConnectionId,battingShotTypeId,bowlingFromId,bowlingTypeId,bowlingHandId,bowlingDetailId,fieldingPosition,lengthTypeId,lineTypeId,referralOutcomeId,outcomeId,appealDismissalTypeId
1,0,1,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,,ForwardDefensive,Over,Fast,Right,NoMovement,Bowler,LengthBall,LegStump,NotReferred,Null,NotOut
1,0,2,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,0,3,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,0,4,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,0,5,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,BackFoot,Missed,BackwardDefensive,Over,Fast,Right,AwaySwinger,Wicketkeeper,BackOfALength,MiddleStump,NotReferred,Null,NotOut
1,0,6,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,4,4.0,4.0,0,FrontFoot,ThickEdge,ForwardDefensive,Over,Fast,Right,AwaySwinger,Third Man,LengthBall,OffStump,NotReferred,Null,NotOut
1,1,1,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,FrontFoot,,ForwardDefensive,Over,Fast,Right,AwaySwinger,Silly Mid Off,LengthBall,OffStump,NotReferred,Null,NotOut
1,1,2,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,BackFoot,,BackwardDefensive,Over,Fast,Right,AwaySwinger,Gully,LengthBall,OffStump,NotReferred,Null,NotOut
1,1,3,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,BackFoot,,Worked,Over,Fast,Right,AwaySwinger,Backward Square Leg,BackOfALength,MiddleStump,NotReferred,Null,NotOut
1,1,4,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,FrontFoot,Left,Leave,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,1,5,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,BackFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,1,6,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,BackFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,2,1,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,2,2,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,DownTheTrack,HitPad,Worked,Over,Fast,Right,SeamIn,Backward Point,BackOfALength,DownLeg,NotReferred,Null,NotOut
1,2,3,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,2,4,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,2,2.0,2.0,0,FrontFoot,,Drive,Over,Fast,Right,AwaySwinger,Deep Cover,LengthBall,OffStump,NotReferred,Null,NotOut
1,2,5,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,4,4.0,4.0,0,FrontFoot,WellTimed,Drive,Over,Fast,Right,AwaySwinger,Long Off,LengthBall,OffStump,NotReferred,Null,NotOut
1,2,6,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,3,1,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,4,4.0,4.0,0,FrontFoot,ThickEdge,Drive,Over,Fast,Right,AwaySwinger,Third Man,HalfVolley,OutsideOff,NotReferred,Null,NotOut
1,3,2,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,BackFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,BackOfALength,OutsideOff,NotReferred,Null,NotOut
1,3,3,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,BackFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,3,4,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,BackFoot,HitPad,Worked,Over,Fast,Right,InSwinger,Gully,BackOfALength,OutsideOff,NotReferred,Null,NotOut
1,3,5,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,FrontFoot,,Worked,Over,Fast,Right,InSwinger,Short Mid Wicket,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,3,6,2025-06-20,KL Rahul,Yashasvi Jaiswal,Brydon Carse,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,HalfVolley,Wide Outside Off Stump,NotReferred,Null,NotOut
1,4,1,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,Leave,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,4,2,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,BackFoot,HitPad,Worked,Over,Fast,Right,InSwinger,Square Leg,BackOfALength,DownLeg,NotReferred,Null,NotOut
1,4,3,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,Leave,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,4,4,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,1,1.0,1.0,0,FrontFoot,,Drive,Over,Fast,Right,NoMovement,Cover,LengthBall,OffStump,NotReferred,Null,NotOut
1,4,5,2025-06-20,KL Rahul,Yashasvi Jaiswal,Chris Woakes,0,0.0,0.0,0,BackFoot,,BackwardDefensive,Over,Fast,Right,AwaySwinger,Gully,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,4,6,2025-06-20,KL Rahul,Yashasvi Jaiswal,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,Leave,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,5,1,2025-06-20,Yashasvi Jaiswal,KL Rahul,Brydon Carse,0,0.0,0.0,0,BackFoot,,BackwardDefensive,Over,Fast,Right,InSwinger,Bowler,LengthBall,LegStump,NotReferred,Null,NotOut
1,5,2,2025-06-20,Yashasvi Jaiswal,KL Rahul,Brydon Carse,4,4.0,4.0,0,FrontFoot,WellTimed,Drive,Over,Fast,Right,InSwinger,Third Man,HalfVolley,OutsideOff,NotReferred,Null,NotOut
1,5,3,2025-06-20,Yashasvi Jaiswal,KL Rahul,Brydon Carse,0,0.0,0.0,0,BackFoot,Left,Leave,Over,Fast,Right,NoMovement,Wicketkeeper,BackOfALength,OutsideOff,NotReferred,Null,NotOut
1,5,4,2025-06-20,Yashasvi Jaiswal,KL Rahul,Brydon Carse,4,4.0,4.0,0,BackFoot,ThickEdge,BackwardDefensive,Over,Fast,Right,NoMovement,Third Man,BackOfALength,DownLeg,NotReferred,Null,NotOut
1,5,5,2025-06-20,Yashasvi Jaiswal,KL Rahul,Brydon Carse,0,0.0,0.0,0,BackFoot,Missed,BackwardDefensive,Over,Fast,Right,AwaySwinger,Wicketkeeper,BackOfALength,DownLeg,NotReferred,Null,NotOut
1,5,6,2025-06-20,Yashasvi Jaiswal,KL Rahul,Brydon Carse,0,0.0,0.0,0,FrontFoot,HitPad,Worked,Over,Fast,Right,InSwinger,Gully,LengthBall,LegStump,NotReferred,Null,NotOut
1,6,1,2025-06-20,KL Rahul,Yashasvi Jaiswal,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,6,2,2025-06-20,KL Rahul,Yashasvi Jaiswal,Chris Woakes,2,2.0,2.0,0,FrontFoot,InsideEdge,Drive,Over,Fast,Right,InSwinger,Deep Square Leg,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,6,3,2025-06-20,KL Rahul,Yashasvi Jaiswal,Chris Woakes,1,1.0,1.0,0,BackFoot,,Worked,Over,Fast,Right,NoMovement,Short Mid Wicket,LengthBall,OutsideOff,NotReferred,Null,NotOut
1,6,4,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,,ForwardDefensive,Over,Fast,Right,NoMovement,Silly Mid Off,LengthBall,LegStump,NotReferred,Null,NotOut
1,6,5,2025-06-20,Yashasvi Jaiswal,KL Rahul,Chris Woakes,0,0.0,0.0,0,FrontFoot,Left,ShouldersArms,Over,Fast,Right,AwaySwinger,Wicketkeeper,LengthBall,OutsideOff,NotReferred,Null,NotOut
